epoch,split,loss,accuracy,precision,recall,f1,mcc,auroc,auprc,tp,fp,tn,fn
0,train,0.028398,0.993082,0.00045,0.012208,0.000867,0.001057,0.580297,0.000355,1283,2852909,421921653,103811
0,val,0.002823,0.999755,0.0,0.0,0.0,0.0,0.771535,0.011377,0,0,106324892,25996
1,train,0.002897,0.999752,0.048872,0.000247,0.000492,0.00346,0.821413,0.00881,26,506,424774056,105068
1,val,0.002644,0.999755,0.0,0.0,0.0,0.0,0.876562,0.016623,0,0,106324892,25996
2,train,0.002714,0.999753,0.115385,2.9e-05,5.7e-05,0.001811,0.876404,0.01352,3,23,424774539,105091
2,val,0.002606,0.999755,0.0,0.0,0.0,0.0,0.881368,0.018984,0,0,106324892,25996
3,train,0.002647,0.999752,0.2,5.7e-05,0.000114,0.003375,0.892372,0.017413,6,24,424774538,105088
3,val,0.002547,0.999755,0.0,0.0,0.0,0.0,0.910835,0.023281,0,0,106324892,25996
4,train,0.002586,0.999753,0.216667,0.000124,0.000247,0.005172,0.901932,0.021981,13,47,424774515,105081
4,val,0.002508,0.999755,0.666667,7.7e-05,0.000154,0.00716,0.921327,0.02755,2,1,106324891,25994
5,train,0.002538,0.999752,0.295858,0.000476,0.00095,0.011856,0.906959,0.026544,50,119,424774443,105044
5,val,0.002472,0.999755,0.285714,7.7e-05,0.000154,0.004685,0.922828,0.031009,2,5,106324887,25994
6,train,0.002476,0.999752,0.305263,0.001104,0.0022,0.018343,0.913303,0.033114,116,264,424774298,104978
6,val,0.002433,0.999755,0.452381,0.000731,0.001459,0.018176,0.897164,0.037775,19,23,106324869,25977
7,train,0.002416,0.999752,0.263479,0.002464,0.004883,0.025461,0.916034,0.040869,259,724,424773838,104835
7,val,0.00242,0.999755,0.5,0.000231,0.000461,0.010739,0.888196,0.040679,6,6,106324886,25990
8,train,0.002352,0.999751,0.348578,0.005367,0.010571,0.043226,0.921592,0.05073,564,1054,424773508,104530
8,val,0.002377,0.999754,0.411945,0.010348,0.020188,0.065259,0.928054,0.055852,269,384,106324508,25727
9,train,0.002315,0.999751,0.374294,0.010086,0.019643,0.06141,0.923327,0.059611,1060,1772,424772790,104034
9,val,0.002339,0.999755,0.493827,0.001539,0.003068,0.027555,0.902396,0.058463,40,41,106324851,25956
10,train,0.002254,0.999751,0.420866,0.014701,0.02841,0.078623,0.927166,0.071262,1545,2126,424772436,103549
10,val,0.002414,0.999752,0.410532,0.027889,0.05223,0.106952,0.950987,0.07162,725,1041,106323851,25271
11,train,0.002213,0.999751,0.41767,0.020467,0.039023,0.092416,0.930894,0.080274,2151,2999,424771563,102943
11,val,0.002276,0.999757,0.614108,0.01708,0.033235,0.102386,0.925178,0.083116,444,279,106324613,25552
12,train,0.002151,0.999751,0.450968,0.027699,0.052192,0.111718,0.934605,0.094141,2911,3544,424771018,102183
12,val,0.002268,0.999757,0.619579,0.019234,0.037309,0.109135,0.929238,0.09037,500,307,106324585,25496
13,train,0.002116,0.999751,0.456319,0.034046,0.063364,0.124591,0.937001,0.103823,3578,4263,424770299,101516
13,val,0.002247,0.999758,0.591489,0.037429,0.070403,0.148749,0.922142,0.097617,973,672,106324220,25023
14,train,0.002081,0.999751,0.455443,0.040364,0.074156,0.13553,0.938951,0.110719,4242,5072,424769490,100852
14,val,0.002227,0.999756,0.528585,0.021696,0.041681,0.107053,0.908195,0.093913,564,503,106324389,25432
