split,loss,accuracy,precision,recall,f1,mcc,auroc,auprc,tp,fp,tn,fn
train,0.000403,0.999896,0.782288,0.802967,0.792493,0.792508,0.998349,0.864838,84387,23485,424751077,20707
val,0.002699,0.999809,0.696688,0.386829,0.497452,0.51905,0.804521,0.417525,10056,4378,106320514,15940
