epoch,split,loss,accuracy,precision,recall,f1,mcc,auroc,auprc,tp,fp,tn,fn
0,train,0.137548,0.971978,0.018186,0.075648,0.029323,0.025786,0.616783,0.010474,14730,795228,32991054,179988
0,val,0.045289,0.993673,0.158309,0.021876,0.038439,0.056908,0.909332,0.072434,1067,5673,8476051,47709
1,train,0.041564,0.994154,0.158626,0.007971,0.015178,0.034377,0.929807,0.07255,1552,8232,33778050,193166
1,val,0.040552,0.994187,1.0,2.1e-05,4.1e-05,0.004515,0.937546,0.093107,1,0,8481724,48775
2,train,0.039189,0.994313,0.270235,0.001063,0.002118,0.016638,0.944348,0.089717,207,559,33785723,194511
2,val,0.039972,0.99419,0.777778,0.000431,0.000861,0.018217,0.938843,0.098952,21,6,8481718,48755
3,train,0.038345,0.994256,0.357184,0.003153,0.006251,0.033118,0.94903,0.102937,614,1105,33785177,194104
3,val,0.039584,0.994189,0.45,0.001292,0.002576,0.023871,0.941275,0.101953,63,77,8481647,48713
4,train,0.037846,0.994249,0.395187,0.005819,0.011468,0.047395,0.951487,0.113558,1133,1734,33784548,193585
4,val,0.039743,0.994186,0.394089,0.00164,0.003267,0.025127,0.939999,0.099612,80,123,8481601,48696
5,train,0.037253,0.994234,0.382467,0.009634,0.018795,0.05997,0.953614,0.121787,1876,3029,33783253,192842
5,val,0.039829,0.994178,0.309353,0.001763,0.003506,0.022989,0.937876,0.100158,86,192,8481532,48690
6,train,0.036383,0.994284,0.425736,0.019166,0.036681,0.089383,0.955991,0.139724,3732,5034,33781248,190986
6,val,0.040682,0.99418,0.326531,0.001968,0.003913,0.024979,0.931953,0.099351,96,198,8481526,48680
7,train,0.03644,0.994179,0.392961,0.024199,0.045591,0.096387,0.957085,0.142171,4712,7279,33779003,190006
7,val,0.0395,0.994151,0.307393,0.006479,0.01269,0.043924,0.943056,0.101177,316,712,8481012,48460
8,train,0.035228,0.994227,0.423965,0.036597,0.067377,0.123262,0.960861,0.163087,7126,9682,33776600,187592
8,val,0.04173,0.994178,0.325658,0.00203,0.004034,0.025331,0.925448,0.097867,99,205,8481519,48677
9,train,0.035571,0.994087,0.442211,0.054469,0.09699,0.153683,0.962223,0.181482,10606,13378,33772904,184112
9,val,0.040547,0.994145,0.231169,0.003649,0.007185,0.028409,0.935273,0.09214,178,592,8481132,48598
10,train,0.035393,0.994175,0.458387,0.053262,0.095434,0.154793,0.962507,0.181184,10371,12254,33774028,184347
10,val,0.040309,0.994161,0.283333,0.003834,0.007565,0.032387,0.933665,0.098338,187,473,8481251,48589
11,train,0.032992,0.994143,0.467232,0.08824,0.148446,0.201245,0.968061,0.220194,17182,19592,33766690,177536
11,val,0.042543,0.994147,0.28418,0.005966,0.011687,0.040465,0.9172,0.093951,291,733,8480991,48485
12,train,0.03182,0.994221,0.459485,0.120215,0.190571,0.232937,0.969169,0.234479,23408,27536,33758746,171310
12,val,0.043364,0.994149,0.313919,0.00652,0.012774,0.044546,0.911432,0.098182,318,695,8481029,48458
13,train,0.031333,0.994254,0.482651,0.137234,0.213705,0.255249,0.971312,0.258726,26722,28643,33757639,167996
13,val,0.043963,0.994074,0.267423,0.013531,0.025759,0.059046,0.907303,0.09283,660,1808,8479916,48116
14,train,0.030186,0.994179,0.477733,0.169846,0.250598,0.282533,0.974186,0.279062,33072,36155,33750127,161646
14,val,0.044539,0.994104,0.268805,0.009451,0.018261,0.049479,0.905296,0.095554,461,1254,8480470,48315
15,train,0.029194,0.994295,0.491358,0.183512,0.267222,0.297954,0.975745,0.297053,35733,36990,33749292,158985
15,val,0.044759,0.994014,0.268182,0.019354,0.036102,0.070725,0.903841,0.094241,944,2576,8479148,47832
16,train,0.028853,0.994308,0.50253,0.209143,0.295363,0.321802,0.976194,0.316424,40724,40314,33745968,153994
16,val,0.04322,0.993689,0.211289,0.034689,0.059594,0.083574,0.911723,0.091401,1692,6316,8475408,47084
17,train,0.027792,0.994215,0.488264,0.239947,0.321768,0.339718,0.979506,0.334875,46722,48968,33737314,147996
17,val,0.045751,0.993385,0.231803,0.065093,0.101644,0.120247,0.892645,0.097905,3175,10522,8471202,45601
18,train,0.026115,0.994456,0.520313,0.289347,0.371887,0.385454,0.981168,0.380361,56341,51942,33734340,138377
18,val,0.051637,0.993888,0.238325,0.02532,0.045776,0.076058,0.853984,0.087759,1235,3947,8477777,47541
19,train,0.025457,0.994515,0.53193,0.310608,0.3922,0.40393,0.982767,0.398316,60481,53220,33733062,134237
19,val,0.050898,0.99372,0.219412,0.032906,0.057228,0.083029,0.858872,0.081063,1605,5710,8476014,47171
20,train,0.02483,0.994493,0.531241,0.331372,0.408151,0.416983,0.983572,0.412285,64524,56935,33729347,130194
20,val,0.048047,0.991188,0.164021,0.127317,0.143357,0.140182,0.898777,0.091028,6210,31651,8450073,42566
21,train,0.025089,0.994441,0.522588,0.330904,0.405221,0.413218,0.983937,0.407357,64433,58863,33727419,130285
21,val,0.049188,0.993295,0.21495,0.061608,0.095768,0.112429,0.872405,0.091782,3005,10975,8470749,45771
22,train,0.023818,0.994447,0.533433,0.367747,0.435359,0.440283,0.985662,0.439992,71607,62631,33723651,123111
22,val,0.04924,0.992316,0.172675,0.086907,0.115622,0.118957,0.87986,0.083386,4239,20310,8461414,44537
23,train,0.022593,0.994714,0.545684,0.393338,0.457153,0.460697,0.98659,0.466154,76590,63766,33722516,118128
23,val,0.056097,0.993818,0.25663,0.036903,0.064528,0.095461,0.822503,0.085078,1800,5214,8476510,46976
24,train,0.021856,0.994717,0.549569,0.431198,0.48324,0.484199,0.988135,0.492232,83962,68816,33717466,110756
24,val,0.049645,0.992417,0.188602,0.094042,0.125504,0.129697,0.870254,0.09159,4587,19734,8461990,44189
25,train,0.021621,0.994759,0.560947,0.451006,0.500004,0.50043,0.989347,0.510344,87819,68736,33717546,106899
25,val,0.051668,0.992588,0.17577,0.077784,0.107844,0.113593,0.861182,0.083278,3794,17791,8463933,44982
26,train,0.02028,0.994995,0.569008,0.469428,0.514443,0.51431,0.990056,0.530245,91406,69235,33717047,103312
26,val,0.057383,0.993466,0.217778,0.049676,0.080899,0.101638,0.817963,0.079432,2423,8703,8473021,46353
27,train,0.019249,0.995009,0.579116,0.516701,0.546131,0.544559,0.991602,0.564476,100611,73121,33713161,94107
27,val,0.055806,0.992721,0.197563,0.085431,0.119282,0.126675,0.832811,0.085363,4167,16925,8464799,44609
28,train,0.018511,0.995225,0.587908,0.524322,0.554298,0.552791,0.991704,0.575268,102095,71563,33714719,92623
28,val,0.063695,0.993293,0.205215,0.054535,0.086171,0.103216,0.788633,0.073056,2660,10302,8471422,46116
29,train,0.018147,0.995177,0.589745,0.541049,0.564348,0.562474,0.992075,0.586996,105352,73288,33712994,89366
29,val,0.059486,0.993084,0.205847,0.06944,0.103848,0.116683,0.808891,0.082172,3387,13067,8468657,45389
30,train,0.017469,0.995317,0.593896,0.562182,0.577604,0.575456,0.992858,0.605317,109467,74853,33711429,85251
30,val,0.06065,0.992728,0.195638,0.081659,0.115224,0.1232,0.80567,0.078951,3983,16376,8465348,44793
31,train,0.017369,0.995267,0.593119,0.573378,0.583082,0.580804,0.993014,0.607186,111647,76590,33709692,83071
31,val,0.065488,0.9931,0.202798,0.067164,0.100909,0.113851,0.777546,0.074453,3276,12878,8468846,45500
32,train,0.016293,0.995511,0.608949,0.60488,0.606907,0.604653,0.994007,0.634825,117781,75636,33710646,76937
32,val,0.057998,0.992154,0.181537,0.103371,0.131731,0.133271,0.825612,0.08445,5042,22732,8458992,43734
33,train,0.015612,0.995639,0.614013,0.620128,0.617055,0.614845,0.994542,0.652292,120750,75907,33710375,73968
33,val,0.067581,0.993066,0.18969,0.062387,0.093894,0.105909,0.76665,0.06922,3043,12999,8468725,45733
34,train,0.015411,0.995678,0.6245,0.638051,0.631203,0.629091,0.994926,0.668638,124240,74703,33711579,70478
34,val,0.065347,0.992691,0.189269,0.079916,0.112381,0.119758,0.783516,0.072417,3898,16697,8465027,44878
35,train,0.015684,0.995582,0.608112,0.625017,0.616448,0.614266,0.995246,0.630533,121702,78429,33707853,73016
35,val,0.072167,0.993519,0.220845,0.049307,0.080615,0.102007,0.738141,0.06982,2405,8485,8473239,46371
36,train,0.014819,0.995765,0.6271,0.644404,0.635634,0.633565,0.995251,0.676244,125477,74614,33711668,69241
36,val,0.071716,0.993114,0.193141,0.059578,0.091066,0.104486,0.746633,0.066361,2906,12140,8469584,45870
37,train,0.013817,0.995997,0.641542,0.674786,0.657744,0.655934,0.996079,0.703768,131393,73415,33712867,63325
