split,loss,accuracy,precision,recall,f1,mcc,auroc,auprc,tp,fp,tn,fn
train,0.001775,0.999549,0.94714,0.976515,0.961603,0.961492,0.999605,0.992541,190145,10612,33775670,4573
val,0.163279,0.993286,0.206835,0.057446,0.089919,0.10638,0.588144,0.039411,2802,10745,8470979,45974
