epoch,split,loss,accuracy,precision,recall,f1,mcc,auroc,auprc,tp,fp,tn,fn
27,val,0.064034,0.993591,0.236432,0.048856,0.080979,0.10524,0.778365,0.072927,2383,7696,8474028,46393
28,train,0.017506,0.995303,0.603055,0.568037,0.585023,0.582966,0.99283,0.610974,110607,72804,33713478,84111
28,val,0.063844,0.99352,0.248273,0.058225,0.094329,0.11788,0.772907,0.078153,2840,8599,8473125,45936
29,train,0.01701,0.995512,0.61171,0.572032,0.591206,0.589264,0.992755,0.62454,111385,70703,33715579,83333
29,val,0.062002,0.992853,0.195627,0.075385,0.108832,0.118358,0.791369,0.075258,3677,15119,8466605,45099
30,train,0.016542,0.995433,0.608427,0.607556,0.607991,0.605734,0.993615,0.639836,118302,76137,33710145,76416
30,val,0.064901,0.993326,0.206127,0.054351,0.08602,0.103282,0.769645,0.072859,2651,10210,8471514,46125
31,train,0.015584,0.995717,0.622484,0.619044,0.620759,0.618582,0.994185,0.655548,120539,73103,33713179,74179
31,val,0.066198,0.993347,0.226936,0.061629,0.096933,0.115703,0.768881,0.076441,3006,10240,8471484,45770
32,train,0.014777,0.995838,0.632898,0.642617,0.63772,0.635635,0.995397,0.679586,125129,72579,33713703,69589
32,val,0.064627,0.99227,0.185833,0.099127,0.129288,0.132127,0.781306,0.075414,4835,21183,8460541,43941
33,train,0.014662,0.995806,0.625358,0.662173,0.643239,0.641389,0.995448,0.680259,128937,77244,33709038,65781
33,val,0.07548,0.993183,0.205654,0.060255,0.093202,0.108625,0.732502,0.064914,2939,11352,8470372,45837
34,train,0.014457,0.995857,0.636381,0.659138,0.64756,0.645593,0.995462,0.691988,128346,73335,33712947,66372
34,val,0.074086,0.993151,0.197764,0.060563,0.092728,0.106674,0.736885,0.065669,2954,11983,8469741,45822
35,train,0.013803,0.995995,0.641824,0.677462,0.659161,0.657386,0.995984,0.707948,131914,73616,33712666,62804
35,val,0.072741,0.993274,0.220553,0.063802,0.098973,0.115977,0.741746,0.072039,3112,10998,8470726,45664
36,train,0.013105,0.996184,0.658806,0.694122,0.676003,0.674319,0.996635,0.728685,135158,69998,33716284,59560
36,val,0.076493,0.993226,0.216786,0.066037,0.101235,0.116929,0.725551,0.071546,3221,11637,8470087,45555
37,train,0.012361,0.996343,0.665839,0.71736,0.69064,0.689274,0.996656,0.747091,139683,70102,33716180,55035
37,val,0.076254,0.992926,0.199913,0.075549,0.109658,0.119853,0.734035,0.071613,3685,14748,8466976,45091
38,train,0.012027,0.996415,0.670929,0.733943,0.701023,0.699935,0.997144,0.761709,142912,70094,33716188,51806
38,val,0.076669,0.992722,0.191561,0.080142,0.113006,0.120695,0.736185,0.066715,3909,16497,8465227,44867
39,train,0.012522,0.996318,0.660026,0.718341,0.68795,0.686697,0.996736,0.738652,139874,72048,33714234,54844
39,val,0.088649,0.993572,0.236874,0.048835,0.080976,0.105321,0.68566,0.062175,2382,7674,8474050,46394
40,train,0.011804,0.996471,0.676809,0.733938,0.704217,0.703027,0.997342,0.767648,142911,68243,33718039,51807
40,val,0.084417,0.993382,0.215959,0.054433,0.086949,0.10593,0.700116,0.062741,2655,9639,8472085,46121
41,train,0.011959,0.996446,0.677695,0.731401,0.703525,0.702267,0.997132,0.762202,142417,67732,33718550,52301
41,val,0.077706,0.992941,0.210045,0.079055,0.114875,0.125848,0.72488,0.068993,3856,14502,8467222,44920
42,train,0.011806,0.996531,0.67817,0.739336,0.707433,0.70634,0.996643,0.768564,143962,68318,33717964,50756
42,val,0.077009,0.992875,0.196767,0.075857,0.1095,0.119094,0.729849,0.06909,3700,15104,8466620,45076
43,train,0.010892,0.996737,0.696562,0.763222,0.72837,0.727501,0.99776,0.794227,148613,64739,33721543,46105
43,val,0.081848,0.993022,0.2035,0.071285,0.105584,0.117513,0.712688,0.067992,3477,13609,8468115,45299
44,train,0.010267,0.996918,0.708937,0.784812,0.744947,0.744375,0.997595,0.813214,152817,62741,33723541,41901
44,val,0.090478,0.993305,0.215987,0.06044,0.094449,0.111639,0.685602,0.063647,2948,10701,8471023,45828
45,train,0.010059,0.996953,0.713842,0.785711,0.748054,0.747401,0.998098,0.818298,152992,61330,33724952,41726
45,val,0.086795,0.992462,0.182106,0.08621,0.117022,0.121877,0.707048,0.062283,4205,18886,8462838,44571
46,train,0.010405,0.99689,0.703091,0.782521,0.740683,0.740179,0.997445,0.81185,152371,64345,33721937,42347
46,val,0.094061,0.993482,0.230128,0.053243,0.086479,0.108324,0.675252,0.062038,2597,8688,8473036,46179
47,train,0.009765,0.997086,0.720479,0.796583,0.756622,0.756112,0.99798,0.824876,155109,60177,33726105,39609
47,val,0.088292,0.992451,0.188182,0.091602,0.123223,0.127847,0.708513,0.066245,4468,19275,8462449,44308
48,train,0.009574,0.997096,0.723058,0.80444,0.761581,0.761228,0.998302,0.835795,156639,59995,33726287,38079
48,val,0.089448,0.993187,0.214318,0.067697,0.102893,0.117682,0.688384,0.064467,3302,12105,8469619,45474
49,train,0.008893,0.9973,0.738876,0.815086,0.775112,0.774696,0.998643,0.849576,158712,56090,33730192,36006
49,val,0.095266,0.992883,0.191228,0.071244,0.103812,0.113678,0.684433,0.058709,3475,14697,8467027,45301
50,train,0.00864,0.997405,0.747156,0.828526,0.78574,0.785502,0.998259,0.861129,161329,54595,33731687,33389
50,val,0.096938,0.9932,0.217185,0.067677,0.103197,0.11849,0.67763,0.062492,3301,11898,8469826,45475
51,train,0.008758,0.997384,0.746502,0.823242,0.782996,0.782631,0.998015,0.858048,160300,54435,33731847,34418
51,val,0.09016,0.992692,0.189185,0.079117,0.111574,0.119128,0.693322,0.062174,3859,16539,8465185,44917
52,train,0.008587,0.997394,0.744553,0.827448,0.783815,0.783606,0.998614,0.860381,161119,55278,33731004,33599
52,val,0.093207,0.992881,0.196026,0.074237,0.107691,0.117579,0.68815,0.062389,3621,14851,8466873,45155
53,train,0.007998,0.99757,0.758624,0.843296,0.798723,0.798631,0.998935,0.876993,164205,52246,33734036,30513
53,val,0.097949,0.993032,0.210394,0.075283,0.110888,0.12291,0.677671,0.063396,3672,13781,8467943,45104
54,train,0.007609,0.997682,0.765457,0.855381,0.807924,0.808015,0.998956,0.885521,166558,51035,33735247,28160
54,val,0.106063,0.993322,0.220196,0.061383,0.096003,0.113656,0.656429,0.058541,2994,10603,8471121,45782
55,train,0.007334,0.997789,0.778764,0.857193,0.816099,0.815938,0.99898,0.895528,166911,47417,33738865,27807
55,val,0.107465,0.993271,0.215209,0.06249,0.096856,0.113304,0.652659,0.056455,3048,11115,8470609,45728
56,train,0.007138,0.997831,0.779357,0.86804,0.821311,0.821431,0.999031,0.898505,169023,47852,33738430,25695
56,val,0.107212,0.993143,0.192352,0.058779,0.090043,0.103557,0.653015,0.051542,2867,12038,8469686,45909
57,train,0.007405,0.997772,0.779786,0.855478,0.81588,0.815654,0.999007,0.892227,166577,47042,33739240,28141
57,val,0.098448,0.992839,0.191651,0.074832,0.107636,0.116648,0.674051,0.058308,3650,15395,8466329,45126
58,train,0.007441,0.997788,0.777631,0.859736,0.816625,0.816554,0.998669,0.894608,167406,47871,33738411,27312
58,val,0.104112,0.993105,0.20597,0.067759,0.101972,0.115295,0.65997,0.057127,3305,12741,8468983,45471
59,train,0.007441,0.997773,0.776067,0.85972,0.815754,0.815718,0.998974,0.892123,167403,48304,33737978,27315
59,val,0.108469,0.993254,0.211137,0.061957,0.095801,0.11169,0.647922,0.054931,3022,11291,8470433,45754
60,train,0.006943,0.997961,0.795221,0.863464,0.827939,0.827615,0.998815,0.906286,168132,43296,33742986,26586
60,val,0.104241,0.992616,0.184012,0.080511,0.112013,0.118421,0.666304,0.055505,3927,17414,8464310,44849
61,train,0.00619,0.998163,0.807394,0.888839,0.846161,0.84622,0.999315,0.921437,173073,41287,33744995,21645
61,val,0.104383,0.992763,0.193237,0.080142,0.113296,0.121253,0.6639,0.057127,3909,16320,8465404,44867
62,train,0.005974,0.998201,0.813846,0.897919,0.853818,0.853977,0.999398,0.929151,174841,39992,33746290,19877
62,val,0.118534,0.993456,0.222818,0.053694,0.086536,0.106953,0.627795,0.050899,2619,9135,8472589,46157
63,train,0.006666,0.998024,0.79904,0.875666,0.8356,0.835495,0.99887,0.910563,170508,42883,33743399,24210
63,val,0.108549,0.992984,0.199348,0.071408,0.10515,0.11634,0.6564,0.055257,3483,13989,8467735,45293
64,train,0.006198,0.998192,0.813027,0.88775,0.848747,0.848667,0.99909,0.925099,172861,39753,33746529,21857
64,val,0.11641,0.993136,0.201704,0.063597,0.096703,0.110464,0.638867,0.05035,3102,12277,8469447,45674
65,train,0.005439,0.998398,0.828063,0.903399,0.864092,0.864103,0.999418,0.93724,175908,36525,33749757,18810
65,val,0.120276,0.99325,0.219011,0.064478,0.099626,0.116162,0.631639,0.052209,3145,11215,8470509,45631
66,train,0.005206,0.998446,0.834878,0.909731,0.870699,0.870733,0.99943,0.944347,177141,35035,33751247,17577
66,val,0.121838,0.993265,0.21186,0.059989,0.093502,0.110097,0.628928,0.050449,2926,10885,8470839,45850
67,train,0.005244,0.998475,0.838008,0.90876,0.871951,0.871907,0.999223,0.944151,176952,34206,33752076,17766
67,val,0.118056,0.99313,0.206859,0.066652,0.100819,0.114608,0.635293,0.052999,3251,12465,8469259,45525
68,train,0.005008,0.998519,0.839691,0.914338,0.875426,0.87548,0.999576,0.945751,178038,33990,33752292,16680
68,val,0.114906,0.992872,0.199127,0.076677,0.11072,0.120495,0.643515,0.053007,3740,15042,8466682,45036
69,train,0.005089,0.998484,0.83585,0.910666,0.871655,0.871693,0.999442,0.944538,177323,34824,33751458,17395
69,val,0.107916,0.992713,0.20208,0.089245,0.123811,0.131033,0.660479,0.059123,4353,17188,8464536,44423
70,train,0.005136,0.998461,0.833434,0.911338,0.870647,0.870747,0.999495,0.943431,177454,35465,33750817,17264
70,val,0.116755,0.99303,0.202016,0.06985,0.103807,0.115873,0.638287,0.051456,3407,13458,8468266,45369
71,train,0.004846,0.998596,0.848077,0.917337,0.881348,0.881324,0.999454,0.951384,178622,31998,33754284,16096
71,val,0.121555,0.993042,0.2044,0.070855,0.105231,0.11743,0.635424,0.050949,3456,13452,8468272,45320
72,train,0.004625,0.998663,0.854117,0.924475,0.887905,0.887936,0.999583,0.954114,180012,30746,33755536,14706
72,val,0.123654,0.993161,0.203993,0.063269,0.096582,0.110837,0.625101,0.049006,3086,12042,8469682,45690
73,train,0.004122,0.998803,0.866543,0.934783,0.89937,0.899421,0.999619,0.963553,182019,28033,33758249,12699
73,val,0.134009,0.993307,0.215792,0.060009,0.093904,0.111187,0.616531,0.048159,2927,10637,8471087,45849
74,train,0.003901,0.998883,0.87473,0.937515,0.905035,0.905018,0.999533,0.967005,182551,26143,33760139,12167
74,val,0.125728,0.992993,0.201821,0.071798,0.105916,0.11742,0.62768,0.050686,3502,13850,8467874,45274
75,train,0.003956,0.998863,0.873439,0.937674,0.904418,0.904423,0.999669,0.966677,182582,26456,33759826,12136
75,val,0.138451,0.993192,0.21304,0.066385,0.101227,0.116167,0.61657,0.049839,3238,11961,8469763,45538
76,train,0.004062,0.998817,0.868273,0.93392,0.899901,0.899907,0.999681,0.963441,181851,27589,33758693,12867
76,val,0.137698,0.993344,0.197902,0.049512,0.079208,0.096473,0.608222,0.042989,2415,9788,8471936,46361
77,train,0.003899,0.998889,0.876994,0.937607,0.906288,0.906242,0.999532,0.968241,182569,25607,33760675,12149
77,val,0.132352,0.993048,0.201352,0.068415,0.102129,0.114474,0.62106,0.048152,3337,13236,8468488,45439
78,train,0.003673,0.998962,0.885121,0.94246,0.912891,0.912828,0.999654,0.970838,183514,23818,33762464,11204
78,val,0.133892,0.993356,0.205916,0.052382,0.083519,0.101337,0.610438,0.044852,2555,9853,8471871,46221
79,train,0.003536,0.999021,0.891512,0.944879,0.91742,0.917323,0.99939,0.974131,183985,22389,33763893,10733
79,val,0.141775,0.993251,0.208634,0.060542,0.09385,0.109713,0.606875,0.045059,2953,11201,8470523,45823
80,train,0.003261,0.999091,0.896329,0.94927,0.92204,0.921962,0.9997,0.976652,184840,21379,33764903,9878
80,val,0.141006,0.993342,0.204778,0.052895,0.084073,0.101535,0.604154,0.043045,2580,10019,8471705,46196
81,train,0.00293,0.999188,0.90558,0.955459,0.929851,0.929774,0.999754,0.981186,186045,19398,33766884,8673
81,val,0.142448,0.993215,0.202268,0.058881,0.091211,0.10644,0.605044,0.042996,2872,11327,8470397,45904
82,train,0.002674,0.999261,0.914128,0.961159,0.937054,0.93698,0.999815,0.984557,187155,17581,33768701,7563
82,val,0.147259,0.993162,0.207236,0.065175,0.099164,0.113438,0.606421,0.045466,3179,12161,8469563,45597
83,train,0.002701,0.999247,0.912476,0.961442,0.936319,0.936266,0.999822,0.983675,187210,17957,33768325,7508
83,val,0.146964,0.993356,0.213372,0.055745,0.088395,0.106523,0.59816,0.042433,2719,10024,8471700,46057
