epoch,split,loss,accuracy,precision,recall,f1,mcc,tp,fp,tn,fn
34,train,0.001339,0.999764,0.547635,0.27955,0.37015,0.391165,29379,24268,424750294,75715
34,val,0.002055,0.99977,0.608868,0.17168,0.267839,0.323233,4463,2867,106322025,21533
35,train,0.001313,0.999765,0.549384,0.290254,0.379833,0.399222,30504,25020,424749542,74590
35,val,0.002124,0.99977,0.609144,0.172719,0.269128,0.324283,4490,2881,106322011,21506
36,train,0.001288,0.999768,0.556669,0.302377,0.391886,0.410169,31778,25308,424749254,73316
36,val,0.002108,0.999773,0.626648,0.173681,0.27198,0.329827,4515,2690,106322202,21481
37,train,0.001269,0.999769,0.559539,0.31155,0.400244,0.417417,32742,25774,424748788,72352
37,val,0.002054,0.999766,0.55997,0.201146,0.295976,0.335522,5229,4109,106320783,20767
38,train,0.00124,0.999771,0.563779,0.326099,0.413197,0.42867,34271,26517,424748045,70823
38,val,0.002103,0.999768,0.570439,0.199531,0.295648,0.337283,5187,3906,106320986,20809
39,train,0.001216,0.999772,0.565312,0.333806,0.419755,0.434297,35081,26975,424747587,70013
39,val,0.002102,0.999769,0.578538,0.214648,0.313123,0.352305,5580,4065,106320827,20416
40,train,0.001198,0.999774,0.570211,0.347556,0.431874,0.44507,36526,27531,424747031,68568
40,val,0.002174,0.999771,0.595901,0.199108,0.298483,0.344369,5176,3510,106321382,20820
41,train,0.001169,0.999776,0.575174,0.360925,0.443531,0.455521,37931,28016,424746546,67163
41,val,0.002165,0.999775,0.623989,0.198915,0.301666,0.352227,5171,3116,106321776,20825
42,train,0.001149,0.999778,0.578944,0.372143,0.453061,0.464062,39110,28444,424746118,65984
42,val,0.002166,0.999775,0.623307,0.205339,0.308912,0.357674,5338,3226,106321666,20658
43,train,0.00112,0.999781,0.586645,0.386873,0.466261,0.476297,40658,28648,424745914,64436
43,val,0.002145,0.999777,0.627152,0.218572,0.324167,0.370157,5682,3378,106321514,20314
44,train,0.0011,0.999781,0.58637,0.397577,0.473862,0.482729,41783,29474,424745088,63311
44,val,0.002169,0.999779,0.646343,0.214495,0.322098,0.37226,5576,3051,106321841,20420
45,train,0.001076,0.999785,0.594491,0.4093,0.484813,0.493178,43015,29341,424745221,62079
45,val,0.002118,0.999767,0.548935,0.26581,0.35818,0.381884,6910,5678,106319214,19086
46,train,0.001055,0.999786,0.593246,0.420252,0.491985,0.49921,44166,30282,424744280,60928
46,val,0.002057,0.999766,0.544532,0.274465,0.364971,0.386492,7135,5968,106318924,18861
